372,47
369,44
370,44
375,51
380,60
379,60
370,58
595,57
598,57
590,53
589,53
594,52
593,52
596,53
1460,121
1420,111
1444,116
1460,131
1452,125
1428,125
1471,126
1297,99
1290,95
1300,104
1315,111
1297,101
1289,104
1297,96
2184,166
2175,161
2170,158
2174,157
2179,150
2173,151
2188,163
5863,472
5800,465
5900,485
5894,490
5811,457
5832,461
5854,460
4000,300
4128,288
4003,292
4050,309
4110,303
4033,314
4010,297
3000,240
2980,255
3001,232
3005,228
3010,243
3020,251
3039,236
8977,629
8950,657
8943,637
9001,642
8999,714
8921,665
8989,654
2043,194
2021,176
2032,196
